time,Clock+,Clock-,D2+,D2-,D0+,D0-,D1+,D1-
,1,0,0,0,0,0,0,0
,1,0,0,1,0,0,0,1
,1,0,1,0,0,0,0,0
,1,0,0,1,1,0,0,0
,1,0,0,1,1,0,0,1
,1,0,0,1,1,0,0,1
,0,0,0,1,1,0,0,1
,0,0,0,0,1,0,0,0
,0,0,0,1,1,0,0,0
,1,1,0,1,0,0,0,1
,1,1,0,1,0,0,0,1
,1,0,0,1,0,0,0,1
,1,0,1,1,1,0,0,1
,1,0,0,1,0,0,0,1
,1,0,0,1,0,0,0,0
,1,0,0,1,0,0,0,1
,1,0,0,1,1,0,0,1
,1,0,0,1,1,0,0,1
,1,0,0,1,1,0,0,1
,1,0,1,0,1,0,0,1
,1,0,1,1,0,0,0,0
,1,0,1,0,0,0,0,0
,1,0,0,1,0,0,0,1
,1,0,1,1,1,0,0,1
,1,0,1,1,1,0,0,1
,1,0,1,1,1,0,0,1
,1,0,1,1,1,0,0,1
,1,0,0,1,0,0,0,1
,1,0,0,1,0,0,0,0
,1,0,0,1,0,0,0,0
,1,0,0,1,1,0,0,0
,1,0,0,1,1,0,0,1
,1,1,0,1,0,0,0,1
,0,0,0,0,1,0,0,0
,0,0,0,1,1,0,0,1
,1,0,0,1,1,0,0,1
,1,1,0,1,0,0,0,1
,1,1,0,1,0,0,0,1
,1,0,1,0,1,0,0,1
,1,0,0,1,0,0,0,1
,1,0,1,0,0,0,0,1
,0,0,1,0,0,0,0,0
,1,0,0,1,1,0,0,0
,1,0,1,0,1,0,0,1
,1,0,1,1,1,0,0,1
,1,1,1,0,1,0,0,1
,1,0,1,1,0,0,0,0
,1,0,1,1,0,0,0,1
,1,0,0,0,0,0,0,1
,1,0,1,0,1,0,0,1
,1,0,0,1,1,0,0,1
,1,0,1,1,1,0,0,1
,1,0,1,0,1,0,0,0
,1,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,0
,1,0,1,0,0,0,0,1
,1,0,1,0,1,0,0,1
,1,0,0,1,1,0,0,1
,1,0,1,0,1,0,0,1
,0,0,0,0,0,0,0,0
,1,0,0,1,1,0,0,1
,1,0,0,1,1,0,0,1
,0,0,0,1,1,0,0,0
,1,1,0,1,0,0,0,1
,1,0,0,1,0,0,0,1
,1,0,1,1,1,0,0,1
,1,0,1,1,1,0,0,0
,1,0,0,1,0,0,0,0
,0,0,0,1,0,0,0,0
,1,0,0,1,0,0,0,1
,1,0,0,1,1,0,0,1
,1,0,0,1,1,0,0,1
,1,0,1,1,1,0,0,1
,1,0,1,1,1,0,0,1
,1,0,1,0,0,0,0,1
,1,0,0,0,0,0,0,1
,1,0,0,1,0,0,0,1
,1,0,1,1,1,0,0,1
,1,0,0,1,1,0,0,0
,1,0,0,1,1,0,0,0
,1,0,0,1,1,0,0,1
,1,0,0,1,0,0,0,1
,1,0,0,1,0,0,0,1
,1,0,0,1,0,0,0,1
,1,0,0,1,1,0,0,1
,1,0,1,0,1,0,0,0
,1,0,0,1,1,0,0,1
,1,0,0,1,1,0,0,1
,1,0,0,1,1,0,0,1
,1,1,0,1,0,0,0,0
,1,1,0,1,0,0,0,1
,1,0,1,0,0,0,0,1
,1,0,1,1,1,0,0,1
,1,0,1,0,1,0,0,0
,1,0,1,0,0,0,0,0
,1,0,0,1,0,0,0,0
,1,0,0,0,0,0,0,1
,1,0,0,1,1,0,0,1
,1,0,1,0,1,0,0,1
,1,0,1,1,1,0,0,0
,1,0,1,1,1,0,0,1
,1,0,0,0,0,0,0,0
,0,0,1,0,0,0,0,0
,1,0,0,0,0,0,0,1
,1,0,1,1,1,0,0,1
,1,0,1,0,1,0,0,1
,1,0,1,0,1,0,0,1
,1,0,1,0,1,0,0,0
,0,0,1,0,0,0,0,0
,0,0,1,0,0,0,0,0
,1,0,0,1,0,0,0,1
,1,0,1,0,1,0,0,1
,1,1,0,1,0,0,0,1
,0,0,0,1,1,0,0,1
,0,0,0,1,1,0,0,1
,0,0,0,1,1,0,0,1
,1,0,0,1,0,0,0,1
,1,1,0,1,0,0,0,1
,1,0,0,1,0,0,0,1
,1,0,0,1,0,0,0,1
,1,0,0,1,0,0,0,0
,0,0,1,0,0,0,0,0
,1,0,0,1,1,0,0,1
,1,0,0,1,1,0,0,1
,1,0,0,1,1,0,0,1
,1,0,1,1,1,0,0,1
,1,0,1,1,0,0,0,1
,1,0,0,1,0,0,0,1
,1,0,0,1,0,0,0,1
,1,0,0,1,1,0,0,1
,1,0,1,1,1,0,0,1
,1,0,0,1,1,0,0,1
,1,0,1,1,1,0,0,1
,1,0,0,1,0,0,0,0
,0,0,0,1,0,0,0,0
,0,0,0,1,0,0,0,1
,1,0,0,1,1,0,0,1
,1,0,1,0,1,0,0,1
,1,0,1,0,1,0,0,1
,0,0,0,0,1,0,0,0
,0,0,0,1,1,0,0,1
,0,0,0,1,1,0,0,1
,0,0,0,1,1,0,0,1
,1,1,0,1,0,0,0,1
,1,0,0,1,1,0,0,1
,1,0,0,1,0,0,0,1
,1,0,0,1,1,0,0,1
,1,0,1,0,1,0,0,1
,1,0,0,1,1,0,0,1
,1,0,1,0,1,0,0,1
,1,0,0,1,0,0,0,1
,1,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,0
,1,0,0,1,1,0,0,1
,1,0,1,0,1,0,0,1
,1,0,0,1,1,0,0,1
,1,0,1,1,1,0,0,1
,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,0
,1,0,1,0,1,0,0,1
,1,0,0,1,1,0,0,1
,1,0,0,1,1,0,0,1
,1,0,1,0,1,0,0,1
,0,0,1,0,0,0,0,0
,1,0,1,0,0,0,0,0
,0,0,0,1,1,0,0,1
,1,0,0,1,1,0,0,1
,1,0,0,1,1,0,0,1
,1,1,0,1,0,0,0,1
,1,1,0,1,0,0,0,1
,1,0,0,1,1,0,0,0
,1,0,0,0,0,0,0,0
,0,0,0,1,0,0,0,1
,1,0,0,1,0,0,0,1
,1,0,0,1,1,0,0,1
,1,0,0,1,1,0,0,1
,1,0,0,1,1,0,0,1
,1,0,1,0,1,0,0,1
,1,0,0,1,0,0,0,1
,1,0,0,0,0,0,0,0
,1,0,0,1,0,0,0,1
,1,0,0,1,1,0,0,1
,1,0,1,1,1,0,0,1
,1,0,0,1,1,0,0,1
,1,0,0,1,1,0,0,0
,0,0,0,1,0,0,0,0
,1,0,0,1,0,0,0,1
,1,0,0,1,0,0,0,1
,1,0,1,0,1,0,0,1
,1,0,0,1,1,0,0,1
,1,0,0,1,1,0,0,0
,1,1,0,1,0,0,0,1
,0,0,0,1,1,0,0,1
,1,0,0,1,1,0,0,1
,0,0,0,0,1,0,0,0
,1,1,0,1,0,0,0,1
